h2o	cpd00001
atp	cpd00002
nad	cpd00003
nadh	cpd00004
nadph	cpd00005
nadp	cpd00006
o2	cpd00007
adp	cpd00008
pi	cpd00009
coa	cpd00010
co2	cpd00011
ppi	cpd00012
nh4	cpd00013
udp	cpd00014
fad	cpd00015
amet	cpd00017
amp	cpd00018
ahcys	cpd00019
pyr	cpd00020
accoa	cpd00022
glu-L	cpd00023
akg	cpd00024
h2o2	cpd00025
udpg	cpd00026
glc-D	cpd00027
pheme	cpd00028
ac	cpd00029
mn2	cpd00030
gdp	cpd00031
oaa	cpd00032
gly	cpd00033
zn2	cpd00034
ala-L	cpd00035
succ	cpd00036
uacgam	cpd00037
gtp	cpd00038
lys-L	cpd00039
glx	cpd00040
asp-L	cpd00041
gthrd	cpd00042
udpgal	cpd00043
paps	cpd00044
pap	cpd00045
cmp	cpd00046
for	cpd00047
so4	cpd00048
fmn	cpd00050
arg-L	cpd00051
ctp	cpd00052
gln-L	cpd00053
ser-L	cpd00054
fald	cpd00055
thmpp	cpd00056
cu2	cpd00058
met-L	cpd00060
pep	cpd00061
utp	cpd00062
ca2	cpd00063
orn-L	cpd00064
trp-L	cpd00065
phe-L	cpd00066
h	cpd00067
itp	cpd00068
tyr-L	cpd00069
malcoa	cpd00070
acald	cpd00071
f6p	cpd00072
urea	cpd00073
s	cpd00074
no2	cpd00075
sucr	cpd00076
succoa	cpd00078
g6p	cpd00079
glyc3p	cpd00080
so3	cpd00081
fru	cpd00082
cys-L	cpd00084
ala-B	cpd00085
ppcoa	cpd00086
thf	cpd00087
g1p	cpd00089
idp	cpd00090
ump	cpd00091
ura	cpd00092
anth	cpd00093
2obut	cpd00094
dhap	cpd00095
cdp	cpd00096
chol	cpd00098
glyc	cpd00100
r5p	cpd00101
g3p	cpd00102
prpp	cpd00103
btn	cpd00104
rib-D	cpd00105
fum	cpd00106
leu-L	cpd00107
gal	cpd00108
ficytc	cpd00109
focytc	cpd00110
gthox	cpd00111
ipdp	cpd00113
imp	cpd00114
datp	cpd00115
meoh	cpd00116
ala-D	cpd00117
ptrc	cpd00118
his-L	cpd00119
btcoa	cpd00120
inost	cpd00121
acgam	cpd00122
3mob	cpd00123
mlthf	cpd00125
gmp	cpd00126
ade	cpd00128
pro-L	cpd00129
